area,lat,lon,district,name,population,state
73.55,49.233,9.100,Heilbronn,Bad Rappenau,21650,Baden-Württemberg
39.44,47.72472,12.87694,Berchtesgadener Land,Bad Reichenhall,18530,Bavaria
77.65,50.333,10.783,Coburg,Bad Rodach,6375,Bavaria
33.13,51.59694,10.55222,Göttingen,Bad Sachsa,7373,Lower Saxony
67.11,52.06528,10.00917,Hildesheim,Bad Salzdetfurth,13255,Lower Saxony
100.05,52.08750,8.75056,Lippe,Bad Salzuflen,54166,North Rhine-Westphalia
152.02,50.81167,10.23333,Wartburgkreis,Bad Salzungen,23177,Thuringia
97.34,48.01750,9.50028,Sigmaringen,Bad Saulgau,17567,Baden-Württemberg
46.77,50.917,14.150,Sächsische Schweiz-Osterzgebirge,Bad Schandau,3511,Saxony
159.99,51.68806,12.73750,Wittenberg,Bad Schmiedeberg,8129,Saxony-Anhalt
55.02,48.00667,9.65861,Biberach,Bad Schussenried,8853,Baden-Württemberg
40.27,50.13333,8.06667,Rheingau-Taunus-Kreis,Bad Schwalbach,11207,Hesse
18.39,53.91944,10.69750,Ostholstein,Bad Schwartau,20240,Schleswig-Holstein
18.87,53.917,10.317,Segeberg,Bad Segeberg,17641,Schleswig-Holstein
54.06,49.78722,7.65278,Bad Kreuznach,Bad Sobernheim,6468,Rhineland-Palatinate
58.62,50.267,9.367,Main-Kinzig-Kreis,Bad Soden-Salmünster,13566,Hesse
12.55,50.133,8.500,Main-Taunus-Kreis,Bad Soden,22871,Hesse
73.53,51.283,9.983,Werra-Meißner-Kreis,Bad Sooden-Allendorf,8460,Hesse
99.39,50.100,10.967,Lichtenfels,Bad Staffelstein,10474,Bavaria
91.14,51.08750,11.62222,Weimarer Land,Bad Sulza,7678,Thuringia
25.34,47.550,7.950,Waldshut,Bad Säckingen,17510,Baden-Württemberg
26.37,54.133,12.667,Vorpommern-Rügen,Bad Sülze,1731,Mecklenburg-Western Pomerania
25.1,48.68833,8.68806,Calw,Bad Teinach-Zavelstein,3143,Baden-Württemberg
27.27,51.15389,10.83722,Unstrut-Hainich-Kreis,Bad Tennstedt,2474,Thuringia
30.80,47.76028,11.55667,Bad Tölz-Wolfratshausen,Bad Tölz,19141,Bavaria
55.50,48.49306,9.39861,Reutlingen,Bad Urach,12473,Baden-Württemberg
25.65,50.17806,8.73611,Wetteraukreis,Bad Vilbel,34714,Hesse
108.54,47.92111,9.75194,Ravensburg,Bad Waldsee,20103,Baden-Württemberg
105.26,48.75028,8.55056,Calw,Bad Wildbad,10386,Baden-Württemberg
120.10,51.117,9.117,Waldeck-Frankenberg,Bad Wildungen,17287,Hesse
79.21,52.95000,11.94972,Prignitz,Bad Wilsnack,2553,Brandenburg
19.38,49.233,9.167,Heilbronn,Bad Wimpfen,7308,Baden-Württemberg
78.26,49.500,10.417,Neustadt a.d.Aisch-Bad Windsheim,Bad Windsheim,12195,Bavaria
182.26,47.90944,9.89944,Ravensburg,Bad Wurzach,14782,Baden-Württemberg
57.80,48.00583,10.59694,Unterallgäu,Bad Wörishofen,16327,Bavaria
161.04,51.517,8.700,Paderborn,Bad Wünnenberg,12206,North Rhine-Westphalia
140.18,48.76278,8.24083,Urban district,Baden-Baden,55449,Baden-Württemberg
27.82,50.900,6.183,Aachen,Baesweiler,27319,North Rhine-Westphalia
11.79,49.650,11.017,Erlangen-Höchstadt,Baiersdorf,7945,Bavaria
90.34,48.27306,8.85056,Zollernalbkreis,Balingen,34505,Baden-Württemberg
86.61,51.72000,11.23750,Harz,Ballenstedt,8883,Saxony-Anhalt
74.76,51.33333,7.86667,Märkischer Kreis,Balve,11217,North Rhine-Westphalia
54.62,49.900,10.900,Urban districts of Germany,Bamberg,76674,Bavaria
152.61,51.967,11.867,Salzlandkreis,Barby,8226,Saxony-Anhalt
15.83,53.71667,10.26667,Stormarn,Bargteheide,15984,Schleswig-Holstein
17.17,53.783,9.767,Pinneberg,Barmstedt,10428,Schleswig-Holstein
59.46,51.98306,9.11667,Lippe,Barntrup,8501,North Rhine-Westphalia
102.65,52.30000,9.48111,Hanover,Barsinghausen,34394,Lower Saxony
40.83,54.367,12.717,Vorpommern-Rügen,Barth,8609,Mecklenburg-Western Pomerania
233.62,52.050,13.500,Teltow-Fläming,Baruth/Mark,4225,Brandenburg
169,52.84944,8.72667,Diepholz,Bassum,16072,Lower Saxony
64.73,51.017,8.650,Waldeck-Frankenberg,Battenberg,5391,Hesse
69.47,49.61250,7.33472,Birkenfeld,Baumholder,4329,Rhineland-Palatinate
30.91,49.967,10.833,Bamberg,Baunach,3957,Bavaria
38.27,51.25889,9.41833,Kassel,Baunatal,27915,Hesse
66.62,51.18139,14.42417,Bautzen,Bautzen,38006,Saxony
66.92,49.94806,11.57833,Urban district,Bayreuth,74048,Bavaria
93.63,50.97111,9.79028,Hersfeld-Rotenburg,Bebra,13855,Hesse
111.46,51.75500,8.04028,Warendorf,Beckum,36637,North Rhine-Westphalia
80.21,51.00000,6.56250,Rhein-Erft-Kreis,Bedburg,23743,North Rhine-Westphalia
